beta,target_idx,seed,algorithm,fidelity,gate_count
0.05,0,42,SA,0.254592452629416,2
0.05,1,43,EA,0.3635009863262718,3
0.05,1,43,SA,0.23558168894036016,1
0.05,2,44,EA,0.34800314383461306,2
0.05,2,44,SA,0.33192037153007364,2
0.05,3,45,EA,0.31216288037555634,3
0.05,3,45,SA,0.24376001057644006,2
0.05,4,46,EA,0.2567934618544216,2
0.05,4,46,SA,0.23779339365920668,2
0.05,5,47,EA,0.2978445922164539,3
0.05,5,47,SA,0.32302069822507884,3
0.05,6,48,EA,0.4533295362164081,4
0.05,6,48,SA,0.2500194694206598,2
0.05,7,49,EA,0.5736234057459056,5
0.05,7,49,SA,0.19050742625499476,2
0.05,8,50,EA,0.5192311520168198,3
0.05,8,50,SA,0.4631068680153808,3
0.05,9,51,EA,0.10624262037914535,1
0.05,9,51,SA,0.09760079229887267,1
0.05,10,52,EA,0.32556117358818903,1
0.05,10,52,SA,0.1873131024906681,6
0.05,11,53,EA,0.41065780266729823,2
0.05,11,53,SA,0.3609169245429604,2
0.05,12,54,EA,0.5470692200362163,3
0.05,12,54,SA,0.39208062993959214,6
0.05,13,55,EA,0.23178975676281058,1
0.05,13,55,SA,0.2995507335136955,2
0.05,14,56,EA,0.39581741098942413,3
0.05,14,56,SA,0.34509494682041225,3
0.05,15,57,EA,0.48962117888602996,3
0.05,15,57,SA,0.43417960425892915,4
0.05,16,58,EA,0.2511953835743827,1
0.05,16,58,SA,0.3562258234686006,3
0.05,17,59,EA,0.23099002019347928,2
0.05,17,59,SA,0.144590333101538,1
0.05,18,60,EA,0.24905156589466904,3
0.05,18,60,SA,0.08393883387409873,1
0.05,19,61,EA,0.38706411383419465,3
0.05,19,61,SA,0.2841840262279809,3
0.07,0,42,EA,0.2584216447411355,2
0.07,0,42,SA,0.254592452629416,2
0.07,1,43,EA,0.24265072604089347,1
0.07,1,43,SA,0.23558168894036016,1
0.07,2,44,EA,0.36265665653960116,2
0.07,2,44,SA,0.27841189710648917,1
0.07,3,45,EA,0.24513377189802382,2
0.07,3,45,SA,0.24376001057644006,2
0.07,4,46,EA,0.24077812978660174,2
0.07,4,46,SA,0.23779339365920668,2
0.07,5,47,EA,0.17655225377809985,1
0.07,5,47,SA,0.17600552716329765,1
0.07,6,48,EA,0.23425873261562494,2
0.07,6,48,SA,0.2065592347428841,2
0.07,7,49,EA,0.24731178388503344,2
0.07,7,49,SA,0.43046843456819517,4
0.07,8,50,EA,0.4898897726037949,3
0.07,8,50,SA,0.4631068680153808,3
0.07,9,51,EA,0.1025309820019817,1
0.07,9,51,SA,0.09760079229887267,1
0.07,10,52,EA,0.29361856810267056,1
0.07,10,52,SA,0.3361066757477922,3
0.07,11,53,EA,0.3926173194304331,2
0.07,11,53,SA,0.619082374186202,5
0.07,12,54,EA,0.5818335861107238,3
0.07,12,54,SA,0.17021109015028021,1
0.07,13,55,EA,0.3125793274284644,2
0.07,13,55,SA,0.23552545753247675,1
0.07,14,56,EA,0.26479540522272355,1
0.07,14,56,SA,0.3473491595296032,2
0.07,15,57,EA,0.4732109942219794,3
0.07,15,57,SA,0.3789924691233326,3
0.07,16,58,EA,0.2515203316925386,1
0.07,16,58,SA,0.24744172147354188,1
0.07,17,59,EA,0.1750921025383712,1
0.07,17,59,SA,0.17753587093193707,1
0.07,18,60,EA,0.08393883387409873,1
0.07,18,60,SA,0.08393883387409873,1
0.07,19,61,EA,0.09371891572994437,1
0.07,19,61,SA,0.19666124671971172,2
