beta,target_idx,seed,algorithm,fitness_variant,fidelity,gate_count
0.05,9,51,SA,standard,0.09760079229887267,1
0.05,9,51,EA,floor,0.46068995386986444,8
0.05,9,51,SA,floor,0.31358824432230575,4
0.05,10,52,EA,standard,0.32556117358818903,1
0.05,10,52,SA,standard,0.1873131024906681,6
0.05,10,52,EA,floor,0.5455807465321844,5
0.05,10,52,SA,floor,0.451099450003021,13
0.05,11,53,EA,standard,0.41065780266729823,2
0.05,11,53,SA,standard,0.3609169245429604,2
0.05,11,53,EA,floor,0.5454838376033242,3
0.05,11,53,SA,floor,0.5403846748337238,5
0.05,12,54,EA,standard,0.5470692200362163,3
0.05,12,54,SA,standard,0.39208062993959214,6
0.05,12,54,EA,floor,0.5251370472261603,4
0.05,12,54,SA,floor,0.4599634533184998,5
0.05,13,55,EA,standard,0.23178975676281058,1
0.05,13,55,SA,standard,0.2995507335136955,2
0.05,13,55,EA,floor,0.3268934840784011,3
0.05,13,55,SA,floor,0.35764029379203927,11
0.05,14,56,EA,standard,0.39581741098942413,3
0.05,14,56,SA,standard,0.34509494682041225,3
0.05,14,56,EA,floor,0.40117178109546486,3
0.05,14,56,SA,floor,0.3951016242305495,5
0.05,15,57,EA,standard,0.48962117888602996,3
0.05,15,57,SA,standard,0.43417960425892915,4
0.05,15,57,EA,floor,0.4580091543379395,3
0.05,15,57,SA,floor,0.0023502222509928514,7
0.05,16,58,EA,standard,0.2511953835743827,1
0.05,16,58,SA,standard,0.3562258234686006,3
0.05,16,58,EA,floor,0.3334694835417519,3
0.05,16,58,SA,floor,0.3562258234686006,5
0.05,17,59,EA,standard,0.23099002019347928,2
0.05,17,59,SA,standard,0.144590333101538,1
0.05,17,59,EA,floor,0.049689689362525206,2
0.05,17,59,SA,floor,0.049689689362525206,2
0.05,18,60,EA,standard,0.24905156589466904,3
0.05,18,60,SA,standard,0.08393883387409873,1
0.05,18,60,EA,floor,0.055046055527813206,14
0.05,18,60,SA,floor,0.055046055527813206,14
0.05,19,61,EA,standard,0.38706411383419465,3
0.05,19,61,SA,standard,0.2841840262279809,3
0.05,19,61,EA,floor,0.40544784929433225,4
0.05,19,61,SA,floor,0.016110949720904186,4
0.07,0,42,EA,standard,0.2584216447411355,2
0.07,0,42,SA,standard,0.254592452629416,2
0.07,0,42,EA,floor,0.322980970299773,3
0.07,0,42,SA,floor,0.2771103564852089,7
0.07,1,43,EA,standard,0.24265072604089347,1
0.07,1,43,SA,standard,0.23558168894036016,1
0.07,1,43,EA,floor,0.34017445880719027,3
0.07,1,43,SA,floor,0.41373195303987687,5
0.07,2,44,EA,standard,0.36265665653960116,2
0.07,2,44,SA,standard,0.27841189710648917,1
0.07,2,44,EA,floor,0.35489928486747063,2
0.07,2,44,SA,floor,0.3076184129054625,7
0.07,3,45,EA,standard,0.24513377189802382,2
0.07,3,45,SA,standard,0.24376001057644006,2
0.07,3,45,EA,floor,0.30092175778759417,6
0.07,3,45,SA,floor,0.11348257989739371,12
0.07,4,46,EA,standard,0.24077812978660174,2
0.07,4,46,SA,standard,0.23779339365920668,2
0.07,4,46,EA,floor,0.5267149553120581,8
0.07,4,46,SA,floor,0.3105195944672795,6
0.07,5,47,EA,standard,0.17655225377809985,1
0.07,5,47,SA,standard,0.17600552716329765,1
0.07,5,47,EA,floor,0.3083956953904617,3
0.07,5,47,SA,floor,0.12561687688502668,8
0.07,6,48,EA,standard,0.23425873261562494,2
0.07,6,48,SA,standard,0.2065592347428841,2
0.07,6,48,EA,floor,0.4399997022338736,6
0.07,6,48,SA,floor,0.018499200821149125,1
0.07,7,49,EA,standard,0.24731178388503344,2
0.07,7,49,SA,standard,0.43046843456819517,4
0.07,7,49,EA,floor,0.46291516768300456,4
0.07,7,49,SA,floor,0.02058012105065204,11
0.07,8,50,EA,standard,0.4898897726037949,3
0.07,8,50,SA,standard,0.4631068680153808,3
0.07,8,50,EA,floor,0.4751833049289263,3
0.07,8,50,SA,floor,0.4984311976681137,3
0.07,9,51,EA,standard,0.1025309820019817,1
0.07,9,51,SA,standard,0.09760079229887267,1
0.07,9,51,EA,floor,0.356367671901793,5
0.07,9,51,SA,floor,0.31358824432230575,4
0.07,10,52,EA,standard,0.29361856810267056,1
0.07,10,52,SA,standard,0.3361066757477922,3
0.07,10,52,EA,floor,0.531896795461832,4
0.07,10,52,SA,floor,0.3461368193337462,12
0.07,11,53,EA,standard,0.3926173194304331,2
0.07,11,53,SA,standard,0.619082374186202,5
0.07,11,53,EA,floor,0.5353348864382451,3
0.07,11,53,SA,floor,0.5123238847716624,5
0.07,12,54,EA,standard,0.5818335861107238,3
0.07,12,54,SA,standard,0.17021109015028021,1
0.07,12,54,EA,floor,0.5388511321936751,5
0.07,12,54,SA,floor,0.4599634533184998,5
0.07,13,55,EA,standard,0.3125793274284644,2
0.07,13,55,SA,standard,0.23552545753247675,1
0.07,13,55,EA,floor,0.3268934840784011,3
0.07,13,55,SA,floor,0.35764029379203927,11
0.07,14,56,EA,standard,0.26479540522272355,1
0.07,14,56,SA,standard,0.3473491595296032,2
0.07,14,56,EA,floor,0.40117178109546486,3
0.07,14,56,SA,floor,0.3951016242305495,5
0.07,15,57,EA,standard,0.4732109942219794,3
0.07,15,57,SA,standard,0.3789924691233326,3
0.07,15,57,EA,floor,0.44886316356273886,3
0.07,15,57,SA,floor,0.0023502222509928514,7
0.07,16,58,EA,standard,0.2515203316925386,1
0.07,16,58,SA,standard,0.24744172147354188,1
0.07,16,58,EA,floor,0.3334694835417519,3
0.07,16,58,SA,floor,0.3562258234686006,5
0.07,17,59,EA,standard,0.1750921025383712,1
0.07,17,59,SA,standard,0.17753587093193707,1
0.07,17,59,EA,floor,0.049689689362525206,2
0.07,17,59,SA,floor,0.049689689362525206,2
0.07,18,60,EA,standard,0.08393883387409873,1
0.07,18,60,SA,standard,0.08393883387409873,1
0.07,18,60,EA,floor,0.055046055527813206,14
0.07,18,60,SA,floor,0.055046055527813206,14
0.07,19,61,EA,standard,0.09371891572994437,1
0.07,19,61,SA,standard,0.19666124671971172,2
0.07,19,61,EA,floor,0.4041116290116606,4
0.07,19,61,SA,floor,0.016110949720904186,4
0.1,0,42,EA,standard,0.1742050969574155,1
0.1,0,42,SA,standard,0.17452212911053502,1
0.1,0,42,EA,floor,0.322980970299773,3
0.1,0,42,SA,floor,0.2771103564852089,7
0.1,1,43,EA,standard,0.24265072604089347,1
0.1,1,43,SA,standard,0.23558168894036016,1
0.1,1,43,EA,floor,0.34017445880719027,3
0.1,1,43,SA,floor,0.41373195303987687,5
0.1,2,44,EA,standard,0.27378208290687556,1
0.1,2,44,SA,standard,0.27841189710648917,1
0.1,2,44,EA,floor,0.35489928486747063,2
0.1,2,44,SA,floor,0.3076184129054625,7
0.1,3,45,EA,standard,0.15373373049933683,1
0.1,3,45,SA,standard,0.14914127371243877,1
0.1,3,45,EA,floor,0.30092175778759417,6
0.1,3,45,SA,floor,0.11348257989739371,12
0.1,4,46,EA,standard,0.25653681212812396,2
0.1,4,46,SA,standard,0.23779339365920668,2
0.1,4,46,EA,floor,0.33432848682020444,4
0.1,4,46,SA,floor,0.3105195944672795,6
0.1,5,47,EA,standard,0.17655225377809985,1
0.1,5,47,SA,standard,0.17600552716329765,1
0.1,5,47,EA,floor,0.3083956953904617,3
0.1,5,47,SA,floor,0.12561687688502668,8
0.1,6,48,EA,standard,0.2555482963502488,2
0.1,6,48,SA,standard,0.11638542001595548,1
0.1,6,48,EA,floor,0.47349705770655354,6
0.1,6,48,SA,floor,0.018499200821149125,1
0.1,7,49,EA,standard,0.21529653306070085,2
0.1,7,49,SA,standard,0.1957286498296245,2
0.1,7,49,EA,floor,0.3933877486485801,4
0.1,7,49,SA,floor,0.02058012105065204,11
0.1,8,50,EA,standard,0.4616479271422149,3
0.1,8,50,SA,standard,0.4631068680153808,3
0.1,8,50,EA,floor,0.3985638991590386,5
0.1,8,50,SA,floor,0.3858999960853876,3
0.1,9,51,EA,standard,0.09992062991072169,1
0.1,9,51,SA,standard,0.09760079229887267,1
0.1,9,51,EA,floor,0.35764762515699483,6
0.1,9,51,SA,floor,0.31358824432230575,4
0.1,10,52,EA,standard,0.29361856810267056,1
0.1,10,52,SA,standard,0.280254964406048,1
0.1,10,52,EA,floor,0.37269697418452946,2
0.1,10,52,SA,floor,0.3461368193337462,10
0.1,11,53,EA,standard,0.4200329491823053,2
0.1,11,53,SA,standard,0.3609169245429604,2
0.1,11,53,EA,floor,0.36909338559929916,2
0.1,11,53,SA,floor,0.4155211551676413,5
0.1,12,54,EA,standard,0.17285863662589052,1
0.1,12,54,SA,standard,0.17021109015028021,1
0.1,12,54,EA,floor,0.5513562242500025,5
0.1,12,54,SA,floor,0.4101486822295305,4
0.1,13,55,EA,standard,0.23627407638232192,1
0.1,13,55,SA,standard,0.23552545753247675,1
0.1,13,55,EA,floor,0.3268934840784011,3
0.1,13,55,SA,floor,0.35764029379203927,11
0.1,14,56,EA,standard,0.26601833676026887,1
0.1,14,56,SA,standard,0.235058400132393,1
0.1,14,56,EA,floor,0.32252565009395434,2
0.1,14,56,SA,floor,0.3951016242305495,5
0.1,15,57,EA,standard,0.4526332879723565,3
0.1,15,57,SA,standard,0.4333700088321716,3
0.1,15,57,EA,floor,0.4341809701297779,3
0.1,15,57,SA,floor,0.0023502222509928514,7
0.1,16,58,EA,standard,0.2515203316925386,1
0.1,16,58,SA,standard,0.2515631149137188,1
0.1,16,58,EA,floor,0.3334694835417519,3
0.1,16,58,SA,floor,0.3562258234686006,5
0.1,17,59,EA,standard,0.1718425187493084,1
0.1,17,59,SA,standard,0.17753587093193707,1
0.1,17,59,EA,floor,0.049689689362525206,2
0.1,17,59,SA,floor,0.049689689362525206,2
0.1,18,60,EA,standard,0.08393883387409873,1
0.1,18,60,SA,standard,0.08393883387409873,1
0.1,18,60,EA,floor,0.055046055527813206,14
0.1,18,60,SA,floor,0.055046055527813206,14
0.1,19,61,EA,standard,0.09371891572994437,1
0.1,19,61,SA,standard,0.1999600065834371,2
0.1,19,61,EA,floor,0.3988490931716417,4
0.1,19,61,SA,floor,0.016110949720904186,4
0.15,0,42,EA,standard,0.17256088626418192,1
0.15,0,42,SA,standard,0.17452212911053502,1
0.15,0,42,EA,floor,0.322980970299773,3
0.15,0,42,SA,floor,0.2771103564852089,7
0.15,1,43,EA,standard,0.24265072604089347,1
0.15,1,43,SA,standard,0.23558168894036016,1
0.15,1,43,EA,floor,0.34017445880719027,3
0.15,1,43,SA,floor,0.41373195303987687,5
0.15,2,44,EA,standard,0.27378208290687556,1
0.15,2,44,SA,standard,0.27841189710648917,1
0.15,2,44,EA,floor,0.35489928486747063,2
0.15,2,44,SA,floor,0.3076184129054625,7
0.15,3,45,EA,standard,0.15373373049933683,1
0.15,3,45,SA,standard,0.14914127371243877,1
0.15,3,45,EA,floor,0.30092175778759417,6
0.15,3,45,SA,floor,0.11348257989739371,12
0.15,4,46,EA,standard,0.10894112265798239,1
0.15,4,46,SA,standard,0.10440372489351525,1
0.15,4,46,EA,floor,0.31587961474710047,4
0.15,4,46,SA,floor,0.3105195944672795,6
0.15,5,47,EA,standard,0.17655225377809985,1
0.15,5,47,SA,standard,0.17600552716329765,1
0.15,5,47,EA,floor,0.3083956953904617,3
0.15,5,47,SA,floor,0.12561687688502668,8
0.15,6,48,EA,standard,0.11440767867706907,1
0.15,6,48,SA,standard,0.11638542001595548,1
0.15,6,48,EA,floor,0.6019174455600306,6
0.15,6,48,SA,floor,0.018499200821149125,1
0.15,7,49,EA,standard,0.254338117740641,2
0.15,7,49,SA,standard,0.06539232046451977,1
0.15,7,49,EA,floor,0.3346316375478803,5
0.15,7,49,SA,floor,0.02058012105065204,11
0.15,8,50,EA,standard,0.5046895132841805,3
0.15,8,50,SA,standard,0.4631068680153808,3
0.15,8,50,EA,floor,0.5212630872037263,3
0.15,8,50,SA,floor,0.4036194561567201,3
0.15,9,51,EA,standard,0.09992062991072169,1
0.15,9,51,SA,standard,0.09760079229887267,1
0.15,9,51,EA,floor,0.35764762515699483,6
0.15,9,51,SA,floor,0.31358824432230575,4
0.15,10,52,EA,standard,0.32556117358818903,1
0.15,10,52,SA,standard,0.280254964406048,1
0.15,10,52,EA,floor,0.3265303979504831,1
0.15,10,52,SA,floor,0.3461368193337462,10
0.15,11,53,EA,standard,0.4200329491823053,2
0.15,11,53,SA,standard,0.3609169245429604,2
0.15,11,53,EA,floor,0.3609169245429604,2
0.15,11,53,SA,floor,0.4155211551676413,5
0.15,12,54,EA,standard,0.5824664606947562,3
0.15,12,54,SA,standard,0.17021109015028021,1
0.15,12,54,EA,floor,0.44383305328643974,5
0.15,12,54,SA,floor,0.4101486822295305,4
0.15,13,55,EA,standard,0.2220111172684996,1
0.15,13,55,SA,standard,0.23552545753247675,1
0.15,13,55,EA,floor,0.3268934840784011,3
0.15,13,55,SA,floor,0.35764029379203927,11
0.15,14,56,EA,standard,0.263568089366568,1
0.15,14,56,SA,standard,0.235058400132393,1
0.15,14,56,EA,floor,0.32252565009395434,2
0.15,14,56,SA,floor,0.3951016242305495,5
0.15,15,57,EA,standard,0.192384591590881,1
0.15,15,57,SA,standard,0.18750718804224897,1
0.15,15,57,EA,floor,0.3311927324096199,2
0.15,15,57,SA,floor,0.0023502222509928514,7
0.15,16,58,EA,standard,0.2515203316925386,1
0.15,16,58,SA,standard,0.2515631149137188,1
0.15,16,58,EA,floor,0.3334694835417519,3
0.15,16,58,SA,floor,0.3562258234686006,5
0.15,17,59,EA,standard,0.1718425187493084,1
0.15,17,59,SA,standard,0.17753587093193707,1
0.15,17,59,EA,floor,0.049689689362525206,2
0.15,17,59,SA,floor,0.049689689362525206,2
0.15,18,60,EA,standard,0.08393883387409873,1
0.15,18,60,SA,standard,0.08393883387409873,1
0.15,18,60,EA,floor,0.055046055527813206,14
0.15,18,60,SA,floor,0.055046055527813206,14
0.15,19,61,EA,standard,0.09371891572994437,1
0.15,19,61,SA,standard,0.08951684154699703,1
0.15,19,61,EA,floor,0.4038770249640158,4
0.15,19,61,SA,floor,0.016110949720904186,4
