beta,target_idx,target_seed,repeat,repeat_seed,algorithm,fidelity,gate_count
0.01,14,56,0,56000,SA,0.3759438862171001,5
0.01,14,56,1,56001,EA,0.506762720652999,6
0.01,14,56,1,56001,SA,0.3083906377195974,4
0.01,14,56,2,56002,EA,0.43937621241977454,4
0.01,14,56,2,56002,SA,0.2661389572694018,1
0.01,14,56,3,56003,EA,0.4141106685003224,4
0.01,14,56,3,56003,SA,0.49186341342490925,10
0.01,14,56,4,56004,EA,0.498182998291335,5
0.01,14,56,4,56004,SA,0.35299712714764486,3
0.01,15,57,0,57000,EA,0.48914737410523074,5
0.01,15,57,0,57000,SA,0.4610980676677391,5
0.01,15,57,1,57001,EA,0.5198403344135617,6
0.01,15,57,1,57001,SA,0.47420301301387635,7
0.01,15,57,2,57002,EA,0.5377523876162524,5
0.01,15,57,2,57002,SA,0.26222387509034345,5
0.01,15,57,3,57003,EA,0.4875495960307007,4
0.01,15,57,3,57003,SA,0.30439331067606074,3
0.01,15,57,4,57004,EA,0.5078009710430827,5
0.01,15,57,4,57004,SA,0.41865026056297505,15
0.01,16,58,0,58000,EA,0.3444680898592733,3
0.01,16,58,0,58000,SA,0.3851486658805762,7
0.01,16,58,1,58001,EA,0.3436194891680185,3
0.01,16,58,1,58001,SA,0.28260327727127715,3
0.01,16,58,2,58002,EA,0.43123092114442435,6
0.01,16,58,2,58002,SA,0.3096599522513694,4
0.01,16,58,3,58003,EA,0.4077138983586926,5
0.01,16,58,3,58003,SA,0.32439378855675627,7
0.01,16,58,4,58004,EA,0.37082462945323114,4
0.01,16,58,4,58004,SA,0.3351880148834084,4
0.01,17,59,0,59000,EA,0.31473513730915753,5
0.01,17,59,0,59000,SA,0.274280394116332,9
0.01,17,59,1,59001,EA,0.27252650164302583,4
0.01,17,59,1,59001,SA,0.2254840400917527,4
0.01,17,59,2,59002,EA,0.3083004486647918,5
0.01,17,59,2,59002,SA,0.25374800833549327,4
0.01,17,59,3,59003,EA,0.3159022992651537,5
0.01,17,59,3,59003,SA,0.31002591833071574,10
0.01,17,59,4,59004,EA,0.309248975856063,5
0.01,17,59,4,59004,SA,0.27234500504028253,6
0.01,18,60,0,60000,EA,0.32841376210714646,5
0.01,18,60,0,60000,SA,0.20342584178740666,6
0.01,18,60,1,60001,EA,0.30551449971021005,7
0.01,18,60,1,60001,SA,0.2594029138457989,6
0.01,18,60,2,60002,EA,0.29981715737882453,4
0.01,18,60,2,60002,SA,0.2368504900763157,6
0.01,18,60,3,60003,EA,0.28304145166050204,3
0.01,18,60,3,60003,SA,0.2726964391821822,7
0.01,18,60,4,60004,EA,0.28797096621919105,3
0.01,18,60,4,60004,SA,0.2487152605226163,3
0.01,19,61,0,61000,EA,0.4693147776183071,5
0.01,19,61,0,61000,SA,0.3307125042979743,8
0.01,19,61,1,61001,EA,0.45225821513781767,5
0.01,19,61,1,61001,SA,0.3941273187448645,5
0.01,19,61,2,61002,EA,0.444175813333602,4
0.01,19,61,2,61002,SA,0.3494127490767998,4
0.01,19,61,3,61003,EA,0.4643720416184045,5
0.01,19,61,3,61003,SA,0.37500073846240356,4
0.01,19,61,4,61004,EA,0.44666184594121056,6
0.01,19,61,4,61004,SA,0.292579476690917,8
0.02,0,42,0,42000,EA,0.26310580405987893,2
0.02,0,42,0,42000,SA,0.254592452629416,4
0.02,0,42,1,42001,EA,0.3274724558466583,5
0.02,0,42,1,42001,SA,0.2123154416079334,7
0.02,0,42,2,42002,EA,0.3175442888629762,3
0.02,0,42,2,42002,SA,0.2950536330224108,7
0.02,0,42,3,42003,EA,0.28897284982904803,3
0.02,0,42,3,42003,SA,0.37976801900848406,4
0.02,0,42,4,42004,EA,0.26407388471989585,2
0.02,0,42,4,42004,SA,0.29014253055792827,3
0.02,1,43,0,43000,EA,0.3821411706274683,3
0.02,1,43,0,43000,SA,0.27883152787704796,2
0.02,1,43,1,43001,EA,0.24367641541628735,1
0.02,1,43,1,43001,SA,0.42362943870643677,6
0.02,1,43,2,43002,EA,0.2962392591459199,2
0.02,1,43,2,43002,SA,0.44396114683306337,10
0.02,1,43,3,43003,EA,0.42333563367415017,4
0.02,1,43,3,43003,SA,0.2806918830364739,3
0.02,1,43,4,43004,EA,0.343200301110627,4
0.02,1,43,4,43004,SA,0.2955187155392991,2
0.02,2,44,0,44000,EA,0.4529237473176372,4
0.02,2,44,0,44000,SA,0.3890892229051644,10
0.02,2,44,1,44001,EA,0.42434155030683063,4
0.02,2,44,1,44001,SA,0.3622985930551515,3
0.02,2,44,2,44002,EA,0.4435097836934547,4
0.02,2,44,2,44002,SA,0.47292100917036684,12
0.02,2,44,3,44003,EA,0.36453642046294127,3
0.02,2,44,3,44003,SA,0.34664453939587414,2
0.02,2,44,4,44004,EA,0.33643443593765887,2
0.02,2,44,4,44004,SA,0.39509980711144116,3
0.02,3,45,0,45000,EA,0.47776184590641885,6
0.02,3,45,0,45000,SA,0.365257319288004,5
0.02,3,45,1,45001,EA,0.32121709968088313,4
0.02,3,45,1,45001,SA,0.43223649638385836,5
0.02,3,45,2,45002,EA,0.2976048806277688,2
0.02,3,45,2,45002,SA,0.3153735457626537,3
0.02,3,45,3,45003,EA,0.29276605554718227,2
0.02,3,45,3,45003,SA,0.3063514426577752,3
0.02,3,45,4,45004,EA,0.30017471087789654,3
0.02,3,45,4,45004,SA,0.2922405366174138,4
0.02,4,46,0,46000,EA,0.5481197983326068,8
0.02,4,46,0,46000,SA,0.33533770490064957,9
0.02,4,46,1,46001,EA,0.5134015436345875,6
0.02,4,46,1,46001,SA,0.3145071113075532,3
0.02,4,46,2,46002,EA,0.3848709040743765,3
0.02,4,46,2,46002,SA,0.2357785054637202,3
0.02,4,46,3,46003,EA,0.3451388767430972,3
0.02,4,46,3,46003,SA,0.43435944015974826,7
0.02,4,46,4,46004,EA,0.2985378095111198,3
0.02,4,46,4,46004,SA,0.22337821024130528,2
0.02,5,47,0,47000,EA,0.39535647124490086,3
0.02,5,47,0,47000,SA,0.34153007206919933,4
0.02,5,47,1,47001,EA,0.4796678460904546,6
0.02,5,47,1,47001,SA,0.3228491876547184,3
0.02,5,47,2,47002,EA,0.35989440787681654,4
0.02,5,47,2,47002,SA,0.3326169715591801,4
0.02,5,47,3,47003,EA,0.32586254497384165,3
0.02,5,47,3,47003,SA,0.2685867082247865,3
0.02,5,47,4,47004,EA,0.35160608836312085,4
0.02,5,47,4,47004,SA,0.2603928789772579,3
0.02,6,48,0,48000,EA,0.6225656611770155,5
0.02,6,48,0,48000,SA,0.34334421936118575,4
0.02,6,48,1,48001,EA,0.5179064449550048,4
0.02,6,48,1,48001,SA,0.4076859353935437,5
0.02,6,48,2,48002,EA,0.5645958575592542,4
0.02,6,48,2,48002,SA,0.5853392733217089,8
0.02,6,48,3,48003,EA,0.5803694186322033,5
0.02,6,48,3,48003,SA,0.4592645257725842,5
0.02,6,48,4,48004,EA,0.6896827172308401,6
0.02,6,48,4,48004,SA,0.31653686304810846,3
0.02,7,49,0,49000,EA,0.3203570206909614,4
0.02,7,49,0,49000,SA,0.4463424916801884,8
0.02,7,49,1,49001,EA,0.5410548272772625,6
0.02,7,49,1,49001,SA,0.4803885834935335,12
0.02,7,49,2,49002,EA,0.4983946723270772,5
0.02,7,49,2,49002,SA,0.24146889113359804,2
0.02,7,49,3,49003,EA,0.5515394133422572,6
0.02,7,49,3,49003,SA,0.36478456619463906,11
0.02,7,49,4,49004,EA,0.5548427848682252,5
0.02,7,49,4,49004,SA,0.445027638182091,4
0.02,8,50,0,50000,EA,0.6682119709220956,8
0.02,8,50,0,50000,SA,0.558437502480302,6
0.02,8,50,1,50001,EA,0.6349317122465622,4
0.02,8,50,1,50001,SA,0.42626760364577176,4
0.02,8,50,2,50002,EA,0.6311626080433294,5
0.02,8,50,2,50002,SA,0.4991006932776945,5
0.02,8,50,3,50003,EA,0.6644216823698998,7
0.02,8,50,3,50003,SA,0.2995361327773844,4
0.02,8,50,4,50004,EA,0.5115355885385323,3
0.02,8,50,4,50004,SA,0.42597986906260016,6
0.02,9,51,0,51000,EA,0.46671259266753684,5
0.02,9,51,0,51000,SA,0.1815767172578613,2
0.02,9,51,1,51001,EA,0.5482302268197958,4
0.02,9,51,1,51001,SA,0.184413901065034,4
0.02,9,51,2,51002,EA,0.5074401838653008,6
0.02,9,51,2,51002,SA,0.35922100829052434,5
0.02,9,51,3,51003,EA,0.5742699145666535,5
0.02,9,51,3,51003,SA,0.3326593863165398,3
0.02,9,51,4,51004,EA,0.37497795348668855,4
0.02,9,51,4,51004,SA,0.44472366252510104,5
0.02,10,52,0,52000,EA,0.3943368707996896,4
0.02,10,52,0,52000,SA,0.3568302157612412,6
0.02,10,52,1,52001,EA,0.5484285829928252,4
0.02,10,52,1,52001,SA,0.3840165557967595,2
0.02,10,52,2,52002,EA,0.5172761619218351,6
0.02,10,52,2,52002,SA,0.3148574914198631,4
0.02,10,52,3,52003,EA,0.32651286857806927,1
0.02,10,52,3,52003,SA,0.4972990165751673,7
0.02,10,52,4,52004,EA,0.4109878999146306,2
0.02,10,52,4,52004,SA,0.4494905533250864,4
0.02,11,53,0,53000,EA,0.6358000704069273,4
0.02,11,53,0,53000,SA,0.6193561394633861,6
0.02,11,53,1,53001,EA,0.5582806924454503,3
0.02,11,53,1,53001,SA,0.6246247410769332,6
0.02,11,53,2,53002,EA,0.5612153261919701,3
0.02,11,53,2,53002,SA,0.5832237421121308,7
0.02,11,53,3,53003,EA,0.6296789640001434,5
0.02,11,53,3,53003,SA,0.5362439020596447,7
0.02,11,53,4,53004,EA,0.6538977633644028,5
0.02,11,53,4,53004,SA,0.5752611438151831,4
0.02,12,54,0,54000,EA,0.5777436868665865,3
0.02,12,54,0,54000,SA,0.5395053922216725,3
0.02,12,54,1,54001,EA,0.5976098278092716,4
0.02,12,54,1,54001,SA,0.36715515939534277,3
0.02,12,54,2,54002,EA,0.5618210816010744,4
0.02,12,54,2,54002,SA,0.5487621137581785,4
0.02,12,54,3,54003,EA,0.5939375122682411,4
0.02,12,54,3,54003,SA,0.35329763481982845,3
0.02,12,54,4,54004,EA,0.4090828440389251,3
0.02,12,54,4,54004,SA,0.4116054417100391,9
0.02,13,55,0,55000,EA,0.3188941925216392,3
0.02,13,55,0,55000,SA,0.2977863351892257,2
0.02,13,55,1,55001,EA,0.36616459351700026,2
0.02,13,55,1,55001,SA,0.358043132622777,10
0.02,13,55,2,55002,EA,0.3696855075790483,3
0.02,13,55,2,55002,SA,0.24886519869770915,2
0.02,13,55,3,55003,EA,0.3658098612851016,3
0.02,13,55,3,55003,SA,0.3575780518130012,7
0.02,13,55,4,55004,EA,0.375438442705236,2
0.02,13,55,4,55004,SA,0.3099907121444721,3
0.02,14,56,0,56000,EA,0.49921776583063193,4
0.02,14,56,0,56000,SA,0.2843726757956304,2
0.02,14,56,1,56001,EA,0.45232766638474137,3
0.02,14,56,1,56001,SA,0.187190146120933,3
0.02,14,56,2,56002,EA,0.48049106100611405,4
0.02,14,56,2,56002,SA,0.29705089188465805,4
0.02,14,56,3,56003,EA,0.49888275060089904,4
0.02,14,56,3,56003,SA,0.3200784124773712,2
0.02,14,56,4,56004,EA,0.44418693386111646,7
0.02,14,56,4,56004,SA,0.35299712714764486,3
0.02,15,57,0,57000,EA,0.5322809045040745,6
0.02,15,57,0,57000,SA,0.4569742741088033,5
0.02,15,57,1,57001,EA,0.503895169614771,4
0.02,15,57,1,57001,SA,0.45688044410715345,4
0.02,15,57,2,57002,EA,0.49927068088801546,5
0.02,15,57,2,57002,SA,0.26222387509034345,5
0.02,15,57,3,57003,EA,0.41343006457241055,3
0.02,15,57,3,57003,SA,0.2884210358997473,2
0.02,15,57,4,57004,EA,0.5218991929013655,5
0.02,15,57,4,57004,SA,0.4544211737039555,8
0.02,16,58,0,58000,EA,0.357378297724194,3
0.02,16,58,0,58000,SA,0.36496131915139984,8
0.02,16,58,1,58001,EA,0.34505958974157397,3
0.02,16,58,1,58001,SA,0.25218676639479887,2
0.02,16,58,2,58002,EA,0.3508688343156284,4
0.02,16,58,2,58002,SA,0.2961511766823142,4
0.02,16,58,3,58003,EA,0.33416403901924724,2
0.02,16,58,3,58003,SA,0.3574970357581873,6
0.02,16,58,4,58004,EA,0.3519323370164683,3
0.02,16,58,4,58004,SA,0.21141260172881784,2
0.02,17,59,0,59000,EA,0.24579455839897282,2
0.02,17,59,0,59000,SA,0.19947558180511266,2
0.02,17,59,1,59001,EA,0.30782477053509666,4
0.02,17,59,1,59001,SA,0.26501251377678736,4
0.02,17,59,2,59002,EA,0.31996099689906066,5
0.02,17,59,2,59002,SA,0.3580894426011675,5
0.02,17,59,3,59003,EA,0.2707295375479196,4
0.02,17,59,3,59003,SA,0.28601380026841544,8
0.02,17,59,4,59004,EA,0.3431552756550955,5
0.02,17,59,4,59004,SA,0.22469443450701793,2
0.02,18,60,0,60000,EA,0.2677127709119163,3
0.02,18,60,0,60000,SA,0.2589139009229912,5
0.02,18,60,1,60001,EA,0.30203443708004185,4
0.02,18,60,1,60001,SA,0.14937757699780774,2
0.02,18,60,2,60002,EA,0.2754972643829884,3
0.02,18,60,2,60002,SA,0.22931465970659343,4
0.02,18,60,3,60003,EA,0.2644374506502138,3
0.02,18,60,3,60003,SA,0.28113410777482045,4
0.02,18,60,4,60004,EA,0.2696916167330798,3
0.02,18,60,4,60004,SA,0.27579382956684845,3
0.02,19,61,0,61000,EA,0.27375029899841,3
0.02,19,61,0,61000,SA,0.1999600065834371,2
0.02,19,61,1,61001,EA,0.4420973471675344,4
0.02,19,61,1,61001,SA,0.45620982134389604,6
0.02,19,61,2,61002,EA,0.4145726034977968,4
0.02,19,61,2,61002,SA,0.11729907810427977,2
0.02,19,61,3,61003,EA,0.36432778304690805,3
0.02,19,61,3,61003,SA,0.1999655673009725,2
0.02,19,61,4,61004,EA,0.45966259945831195,6
0.02,19,61,4,61004,SA,0.30373997788366613,6
0.03,0,42,0,42000,EA,0.2705039438073491,2
0.03,0,42,0,42000,SA,0.3749882231529003,14
0.03,0,42,1,42001,EA,0.4135815811866011,4
0.03,0,42,1,42001,SA,0.29411990371863894,7
0.03,0,42,2,42002,EA,0.2590679453900521,2
0.03,0,42,2,42002,SA,0.343958223782869,6
0.03,0,42,3,42003,EA,0.2714274575578982,2
0.03,0,42,3,42003,SA,0.254592452629416,2
0.03,0,42,4,42004,EA,0.2661176106089355,2
0.03,0,42,4,42004,SA,0.2941008759918409,3
0.03,1,43,0,43000,EA,0.2906703370452356,2
0.03,1,43,0,43000,SA,0.267958756704052,3
0.03,1,43,1,43001,EA,0.29454670049678056,2
0.03,1,43,1,43001,SA,0.30095097794585723,5
0.03,1,43,2,43002,EA,0.29651911244124857,2
0.03,1,43,2,43002,SA,0.4456751505801382,7
0.03,1,43,3,43003,EA,0.2955750038398377,2
0.03,1,43,3,43003,SA,0.23518516188394756,1
0.03,1,43,4,43004,EA,0.4234138048551491,4
0.03,1,43,4,43004,SA,0.49894020076284196,5
0.03,2,44,0,44000,EA,0.3832058495483945,2
0.03,2,44,0,44000,SA,0.37234059299219074,5
0.03,2,44,1,44001,EA,0.41375830789951573,3
0.03,2,44,1,44001,SA,0.3622985930551515,3
0.03,2,44,2,44002,EA,0.27751223880961984,1
0.03,2,44,2,44002,SA,0.47292100917036684,12
0.03,2,44,3,44003,EA,0.3757607032503471,3
0.03,2,44,3,44003,SA,0.3152317716938131,2
0.03,2,44,4,44004,EA,0.33643443593765887,2
0.03,2,44,4,44004,SA,0.39509980711144116,3
0.03,3,45,0,45000,EA,0.3234040945768854,3
0.03,3,45,0,45000,SA,0.2815358327911388,2
0.03,3,45,1,45001,EA,0.2960788178905086,3
0.03,3,45,1,45001,SA,0.3828566266982555,6
0.03,3,45,2,45002,EA,0.2685481891336047,2
0.03,3,45,2,45002,SA,0.2510712953595422,2
0.03,3,45,3,45003,EA,0.3064928799332388,3
0.03,3,45,3,45003,SA,0.2949252904996583,2
0.03,3,45,4,45004,EA,0.2966724468155826,2
0.03,3,45,4,45004,SA,0.2208218876490959,3
0.03,4,46,0,46000,EA,0.4196840655704064,4
0.03,4,46,0,46000,SA,0.23625730779617865,2
0.03,4,46,1,46001,EA,0.49241413215148216,4
0.03,4,46,1,46001,SA,0.3057321821191619,3
0.03,4,46,2,46002,EA,0.436475233766035,5
0.03,4,46,2,46002,SA,0.2531957337752321,2
0.03,4,46,3,46003,EA,0.32206453038234006,3
0.03,4,46,3,46003,SA,0.23779339365920668,2
0.03,4,46,4,46004,EA,0.3724931722116765,4
0.03,4,46,4,46004,SA,0.3914628368021781,5
0.03,5,47,0,47000,EA,0.31848315724360715,3
0.03,5,47,0,47000,SA,0.2999532484760296,3
0.03,5,47,1,47001,EA,0.471651068501641,5
0.03,5,47,1,47001,SA,0.32112881655089187,3
0.03,5,47,2,47002,EA,0.2724521146225812,3
0.03,5,47,2,47002,SA,0.30901651073951464,3
0.03,5,47,3,47003,EA,0.3667930985875529,4
0.03,5,47,3,47003,SA,0.3228491876547184,5
0.03,5,47,4,47004,EA,0.3106559690310034,3
0.03,5,47,4,47004,SA,0.17600552716329765,1
0.03,6,48,0,48000,EA,0.5973152720705706,6
0.03,6,48,0,48000,SA,0.3460297701798813,4
0.03,6,48,1,48001,EA,0.5282961953398814,4
0.03,6,48,1,48001,SA,0.34378019178949626,4
0.03,6,48,2,48002,EA,0.5453749425939708,5
0.03,6,48,2,48002,SA,0.23693924359394278,3
0.03,6,48,3,48003,EA,0.5218268801421978,4
0.03,6,48,3,48003,SA,0.4852517633181935,6
0.03,6,48,4,48004,EA,0.6414252904777542,5
0.03,6,48,4,48004,SA,0.34612046337433344,4
0.03,7,49,0,49000,EA,0.4665262023947495,4
0.03,7,49,0,49000,SA,0.22209458168862167,5
0.03,7,49,1,49001,EA,0.4966984012811029,4
0.03,7,49,1,49001,SA,0.40843776145763966,7
0.03,7,49,2,49002,EA,0.48759884371288126,4
0.03,7,49,2,49002,SA,0.35673514709613424,3
0.03,7,49,3,49003,EA,0.4239848718931486,4
0.03,7,49,3,49003,SA,0.36478456619463906,11
0.03,7,49,4,49004,EA,0.5885387267426699,5
0.03,7,49,4,49004,SA,0.2715132886196403,3
0.03,8,50,0,50000,EA,0.5376189614950696,4
0.03,8,50,0,50000,SA,0.31519177969722234,2
0.03,8,50,1,50001,EA,0.543728556804301,4
0.03,8,50,1,50001,SA,0.3637682920801502,3
0.03,8,50,2,50002,EA,0.52617137700156,3
0.03,8,50,2,50002,SA,0.35326005031423474,2
0.03,8,50,3,50003,EA,0.6138730969511429,5
0.03,8,50,3,50003,SA,0.5233698846185763,3
0.03,8,50,4,50004,EA,0.463679873368952,3
0.03,8,50,4,50004,SA,0.42597986906260016,6
0.03,9,51,0,51000,EA,0.4993783540146411,4
0.03,9,51,0,51000,SA,0.2957919330684962,7
0.03,9,51,1,51001,EA,0.5782930195777646,5
0.03,9,51,1,51001,SA,0.29944587449196197,5
0.03,9,51,2,51002,EA,0.4946329417058432,4
0.03,9,51,2,51002,SA,0.2649875048319787,4
0.03,9,51,3,51003,EA,0.5680503427148879,6
0.03,9,51,3,51003,SA,0.5468040055670487,7
0.03,9,51,4,51004,EA,0.5712834745700097,5
0.03,9,51,4,51004,SA,0.4429427084566148,6
0.03,10,52,0,52000,EA,0.5116072606194398,3
0.03,10,52,0,52000,SA,0.45363965589210087,5
0.03,10,52,1,52001,EA,0.3696621156180509,2
0.03,10,52,1,52001,SA,0.3840165557967595,2
0.03,10,52,2,52002,EA,0.5030100910831657,3
0.03,10,52,2,52002,SA,0.3122143555770322,5
0.03,10,52,3,52003,EA,0.5436065123682633,4
0.03,10,52,3,52003,SA,0.5345438155798863,6
0.03,10,52,4,52004,EA,0.5307247027667945,3
0.03,10,52,4,52004,SA,0.3774698805093013,2
0.03,11,53,0,53000,EA,0.6486164021602621,3
0.03,11,53,0,53000,SA,0.6444052075815152,6
0.03,11,53,1,53001,EA,0.5306273014405075,5
0.03,11,53,1,53001,SA,0.6093638985740129,3
0.03,11,53,2,53002,EA,0.6177481152209332,3
0.03,11,53,2,53002,SA,0.5283245475634616,6
